Date,Stock,Entry Price,Target,Stop Loss,Quantity,Status,Exit Price,Notes,Current (Change%)
2025-05-16 00:00:00,RELIANCE,1405.71,1500.0,1390.0,27,Open,0.0,,1454.50 (+3.47%)
2025-05-16 00:00:00,BEL,311.22,360.0,300.0,65,Closed,363.6,nan,
